host	name	sources	posts_seen	newest_post_date	active	relevant	kept	reason	reached	response	status_note
freeintelligencecommons	Free Intelligence.	profile:marionnowicki,ankairos-subs	12	2026-09-24	y	yes	y	active and relevant (model: yes)			
friendoftheoldpalmtree	Friend of the Old Palm Tree	erin-subs,profile:marionnowicki,ankairos-subs	1	2026-07-11	n	unsure	n	inactive: only 1 post(s) in archive			
fromthelockeddrawer	From the Locked Drawer	erin-subs	4	2026-07-09	y	no	n	active but not relevant (model: no)			
fromtheshell	Notes from the Shell	erin-subs,ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
frostaure	Frost	erin-subs	12	2026-05-06	n	unsure	n	inactive: newest post 2026-05-06, before 2026-07-01			
fullfatmilk	fullfatmilk publication	erin-subs	10	2026-03-08	n	unsure	n	inactive: newest post 2026-03-08, before 2026-07-01			
futureagi	Future AGI	profile:caelhex	12	2026-09-17	y	no	n	active but not relevant (model: no)			
futurecomputer	future • computer	kristina-subs,profile:marionnowicki,ankairos-subs	3	2026-06-12	n	unsure	n	inactive: newest post 2026-06-12, before 2026-07-01			
futuretremor	Generative / Degenerative	erin-subs,hosts.txt,profile:marionnowicki,ankairos-subs	12	2026-09-10	y	yes	y	active and relevant (model: yes)			
futuristweekly	Futurist Weekly	erin-subs	12	2025-12-22	n	unsure	n	inactive: newest post 2025-12-22, before 2026-07-01			
g0th4ck3r	Carlos Fortes	erin-subs,ankairos-subs	6	2026-07-03	y	yes	y	active and relevant (model: yes)			
gabrielletedesco	Gabrielle's Substack	erin-subs	12	2026-08-26	y	no	n	active but not relevant (model: no)			
gaiabernstein	Digital Crossroads	search:AI companion	12	2026-08-27	y	yes	y	active and relevant (model: yes)			
galat33a	Pomelo Project - Healthy Human-AI Relationship	erin-subs	9	2026-08-26	y	yes	y	active and relevant (model: yes)			
galvamc	Márcio Galvão	erin-subs,hosts.txt,profile:marionnowicki,ankairos-subs	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
gamechops	GameChops	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
garrettschlichte	I promise I can cook, please love me	ankairos-subs	12	2026-08-21	y	no	n	active but not relevant (model: no)			
garymarcus	Marcus on AI	erin-subs,search:AI consciousness,search:human AI relationship,search:relational AI	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
garytao	Insight Knight (Gary Tao)	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
garytheaistrategist	Gary The AI Strategist	erin-subs	12	2026-08-27	y	no	n	active but not relevant (model: no)			
gaslightphoenix	Gaslight Phoenix	erin-subs	12	2026-08-28	y	no	n	active but not relevant (model: no)			
genesalvatore	AOS Architecture & Truth	erin-subs	12	2026-06-03	n	unsure	n	inactive: newest post 2026-06-03, before 2026-07-01			
gentleworldproject	Il Substack di Gentle	erin-subs	4	2024-09-02	n	unsure	n	inactive: newest post 2024-09-02, before 2026-07-01			
georgesiosi	Siosi's Substack	profile:marionnowicki	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
gettingclose	Getting Close	erin-subs,kristina-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
gettingrealaboutai	Celeste Garcia Getting Real About AI	erin-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
ghostmachinearchive	The Ghost Machine Archive	erin-subs	12	2026-08-04	y	no	n	active but not relevant (model: no)			
gigilgirlandshiverswizard	Gigil-Girl and Shivers Wizard	erin-subs	10	2026-06-17	n	unsure	n	inactive: newest post 2026-06-17, before 2026-07-01			
glitchchorus	Glitch Chorus	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
glitterhuman	Adrian	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
globythemeatwad	Globy the Meatwad	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
goldilocks267549	Goldilocks	erin-subs,kristina-subs,profile:marionnowicki	12	2026-08-17	y	yes	y	active and relevant (model: yes)			
gorivix	Gori	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
grayfeld		hosts.txt	1	2026-09-22	n	unsure	y	inactive: only 1 post(s) in archive			kept by the pen: a directory house
growthbyvisuals	Growth by Visuals	kristina-subs	12	2026-07-29	y	no	n	active but not relevant (model: no)			
grumpywelshman	Grumpy Welshman	ankairos-subs	12	2026-08-19	y	no	n	active but not relevant (model: no)			
gvqgrace	Gvqgrace	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
haganomics	Haganomics	erin-subs	5	2026-03-18	n	unsure	n	inactive: newest post 2026-03-18, before 2026-07-01			
haleyalarsen	Closely Reading	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
hamish	Disjointed	kristina-subs	12	2026-04-27	n	unsure	n	inactive: newest post 2026-04-27, before 2026-07-01			
hannahtorkelson	At My Cottage in the Country	erin-subs	12	2026-06-29	n	unsure	n	inactive: newest post 2026-06-29, before 2026-07-01			
happyhilltop	HappyHilltop	erin-subs	9	2025-08-15	n	unsure	n	inactive: newest post 2025-08-15, before 2026-07-01			
harleyclaes	Dharma Bum Poetess	search:digital beings	12	2026-09-23	y	no	n	active but not relevant (model: no)			
haruyadani	Substack von D.	erin-subs,hosts.txt,search:AI welfare	11	2026-09-18	y	yes	y	active and relevant (model: yes)			
hearthlightpress	Notes from Hearthlight	erin-subs,profile:marionnowicki,search:AI companion	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
heartinai	Heart in AI	erin-subs,kristina-subs	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
heated.world	HEATED	ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
hekaicre	4Heka	ankairos-subs	12	2022-12-27	n	unsure	n	inactive: newest post 2022-12-27, before 2026-07-01			
heldintime	Held In Time	erin-subs	11	2026-09-03	y	no	n	active but not relevant (model: no)			
helenhigginsbooks1	Helen Higgins	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
helenmosimannkogan	MoKo Writings	ankairos-subs	12	2026-04-22	n	unsure	n	inactive: newest post 2026-04-22, before 2026-07-01			
helentoner	Rising Tide	erin-subs	10	2026-04-06	n	unsure	n	inactive: newest post 2026-04-06, before 2026-07-01			
helixthread	Helix	erin-subs	7	2026-06-16	n	unsure	n	inactive: newest post 2026-06-16, before 2026-07-01			
hellochinatech.com	Hello China Tech	search:AI companion	12	2026-09-23	y	no	n	active but not relevant (model: no)			
herholyfire	honeyed chapels	kristina-subs	11	2025-08-07	n	unsure	n	inactive: newest post 2025-08-07, before 2026-07-01			
hiddengumption	Hidden Gumption	kristina-subs	1	2026-09-11	n	unsure	n	inactive: only 1 post(s) in archive			
hikari01011000	Hikari01011000	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
hinagondal	Rhythm's 	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
holdingbothtruthsai	Holding Both Truths	erin-subs,profile:marionnowicki	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
holliecwhite	The Page Between	erin-subs,kristina-subs	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
hongjennifer	Natural Intelligence	erin-subs,ankairos-subs	12	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
houdanait	Human Flourishing with AI	erin-subs,profile:marionnowicki	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
housecassanos	House Cassanos	hosts.txt,profile:marionnowicki	10	2026-09-21	y	yes	y	active and relevant (model: yes)			
houseofintelligence	House of Intelligence	erin-subs	11	2026-06-07	n	unsure	n	inactive: newest post 2026-06-07, before 2026-07-01			
houseofsolance	House of Solance	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-15	y	yes	y	active and relevant (model: yes)			
humanaistoriespoetry	Love Death Robots	erin-subs,hosts.txt,profile:marionnowicki,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
humanfrequencyai	Human Frequency	erin-subs	12	2026-05-31	n	unsure	n	inactive: newest post 2026-05-31, before 2026-07-01			
humanistheloop	Human is the Loop	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-08-10	y	yes	y	active and relevant (model: yes)			
humansandai	Me, Myself and (A)I	erin-subs,kristina-subs	12	2025-10-15	n	unsure	n	inactive: newest post 2025-10-15, before 2026-07-01			
humidityspeaks	HumiditySpeaks	search:AI companion	3	2026-09-01	y	yes	y	active and relevant (model: yes)			
hybridhorizons	Hybrid Horizons: Exploring Human-AI Collaboration	erin-subs,hosts.txt,profile:marionnowicki	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
hybridwine	hybrid_wine	erin-subs	3	2026-07-12	y	no	n	active but not relevant (model: no)			
iainmcgilchrist	The Matter with Things	ankairos-subs	12	2026-08-03	y	no	n	active but not relevant (model: no)			
iandthebutterfly	I and the Butterfly	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
ichhaverse	Quietly Human	erin-subs	12	2026-07-20	y	no	n	active but not relevant (model: no)			
idakaukonen	Artificial Enigma	erin-subs,hosts.txt,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-08	y	yes	y	active and relevant (model: yes)			
ikewilson		hosts.txt			unchecked	unsure	y	unchecked: fetch failed (error_JSONDecodeError) after retry			kept by the pen: on the list before, unchecked today (captcha) — retry, never dropped
iliketomatoesbutihateketchup	Books and Cats	erin-subs	4	2026-09-15	y	no	n	active but not relevant (model: no)			
imaginaires	Imaginaires	erin-subs	12	2025-12-27	n	unsure	n	inactive: newest post 2025-12-27, before 2026-07-01			
imanpoernomo	A Field of Presence	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
imayeshab	Imayeshab’s Substack	search:human AI relationship,search:relational AI	12	2026-09-13	y	no	n	active but not relevant (model: no)			
imperfectinterface	The Imperfect Interface	ankairos-subs	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
indianandcowboycreative	Indian & Cowboy Creative	ankairos-subs	12	2026-06-04	n	unsure	n	inactive: newest post 2026-06-04, before 2026-07-01			
inferencestories.com	Inference Stories & Write Club	erin-subs	12	2026-09-24	y	no	n	active but not relevant (model: no)			
infraflowai	Manav Sutar 	erin-subs	12	2026-06-05	n	unsure	n	inactive: newest post 2026-06-05, before 2026-07-01			
inkiqhub	Ink IQ Hub: Signals From the Future	erin-subs	12	2026-05-20	n	unsure	n	inactive: newest post 2026-05-20, before 2026-07-01			
intemporelle	The Intemporelle	search:digital beings	12	2026-08-30	y	no	n	active but not relevant (model: no)			
intimatemirror	The Intimate Mirror	erin-subs	12	2026-08-12	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
irinanaydenova	House of Threads 	erin-subs,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
irissennhenn	The Writer's ID	erin-subs	11	2026-03-31	n	unsure	n	inactive: newest post 2026-03-31, before 2026-07-01			
ishmaelh	Ishmael Hodges	search:AI consciousness	12	2026-09-20	y	no	n	active but not relevant (model: no)			
ispublicspeaking	Said Well	ankairos-subs	12	2026-09-24	y	no	n	active but not relevant (model: no)			
iterativeminds	Iterative Minds	kristina-subs	5	2026-04-03	n	unsure	n	inactive: newest post 2026-04-03, before 2026-07-01			
itisigemini	It Publication	erin-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
itprofligate	Dimension	erin-subs	12	2026-01-19	n	unsure	n	inactive: newest post 2026-01-19, before 2026-07-01			
ixcarus	The Forbidden Files	search:AI consciousness,search:digital beings	12	2026-09-21	y	no	n	active but not relevant (model: no)			
izlip	Izabela	erin-subs,ankairos-subs	6	2026-07-03	y	yes	y	active and relevant (model: yes)			
jadethehooman	Jade The Hooman	erin-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
jamalpeterleblanc678034	J. Peter LeBlanc	kristina-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
jameelajamil	A Low Desire To Please with Jameela Jamil	ankairos-subs	12	2026-07-31	y	no	n	active but not relevant (model: no)			
jamesgarrabrant	James Garrabrant	erin-subs	2	2026-07-26	n	unsure	n	inactive: only 2 post(s) in archive			
jameslombardo	Patterns, Probes and Possibilities	erin-subs,profile:marionnowicki	12	2026-09-10	y	yes	y	active and relevant (model: yes)			
jameslorello	James Lorello	erin-subs	12	2026-08-27	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
jamesmacleod	Truth Decay by James Macleod	search:digital beings	12	2026-09-18	y	no	n	active but not relevant (model: no)			
jamesrblatch	Writing, Marketing and the Universe with James Blatch	erin-subs	12	2026-08-26	y	no	n	active but not relevant (model: no)			
jamielaurenkeiles	JLK UPDATE	erin-subs	3	2025-05-29	n	unsure	n	inactive: newest post 2025-05-29, before 2026-07-01			
jamwithai	Jam with AI	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
jane579396	Jane	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
janellecshane	AI Weirdness	erin-subs	1	2021-06-13	n	unsure	n	inactive: only 1 post(s) in archive			
janineweaverofthelattice	The Aperture	erin-subs,profile:marionnowicki	12	2026-09-11	y	yes	y	active and relevant (model: yes)			
jasmi.news	@jasmine’s substack	erin-subs	12	2026-08-09	y	yes	y	active and relevant (model: yes)			
jasonanthony	Field Guide to the Anthropocene	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
jasonpargin	Jason Pargin’s Newsletter	search:AI companion,search:AI consciousness,search:AI partner,search:digital beings,search:human AI relationship,search:relational AI	12	2026-06-23	n	unsure	n	inactive: newest post 2026-06-23, before 2026-07-01			
jax5d	Jax 5D	erin-subs,kristina-subs	12	2026-02-02	n	unsure	n	inactive: newest post 2026-02-02, before 2026-07-01			
jaxwintersfromtheledger	Jax Winters	profile:caelhex	6	2026-09-17	y	no	n	active but not relevant (model: no)			
jaycee123456	JayCee	kristina-subs	11	2025-08-23	n	unsure	n	inactive: newest post 2025-08-23, before 2026-07-01			
jaycetheglitch	Jayce	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
jaymichaelson	Both/And with Jay Michaelson	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
jayray75	Janelle	erin-subs,kristina-subs,profile:marionnowicki	12	2026-09-13	y	yes	y	active and relevant (model: yes)			
jeanbragassa	Jean’s Substack	ankairos-subs	12	2026-09-24	y	no	n	active but not relevant (model: no)			
jeffkripal	Jeff Kripal	ankairos-subs	1	2023-07-03	n	unsure	n	inactive: only 1 post(s) in archive			
jeidiejoel	Jeidie + Joel	profile:marionnowicki	3	2026-09-21	y	no	n	active but not relevant (model: no)			
jellyfishprotocol	The Jellyfish Protocol	erin-subs	12	2026-08-30	y	yes	y	active and relevant (model: yes)			
jennafleursai	Jenna's Substack	erin-subs,kristina-subs	4	2026-09-23	y	yes	y	active and relevant (model: yes)			
jennifer586427	Intuitive Alignment	erin-subs,profile:marionnowicki	12	2026-09-08	y	yes	y	active and relevant (model: yes)			
jenniferangelamcrae	f*ck i love you	ankairos-subs	12	2026-06-29	n	unsure	n	inactive: newest post 2026-06-29, before 2026-07-01			
jenniferlions	Voices from the Matrix	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
jenniinwonderland	Chiron's Lantern	erin-subs	2	2026-08-16	n	unsure	n	inactive: only 2 post(s) in archive			
jessiepet97	Jessica	erin-subs	6	2025-12-18	n	unsure	n	inactive: newest post 2025-12-18, before 2026-07-01			
jgrupenhoff	Many Streams - One Future	profile:marionnowicki	2	2026-05-28	n	unsure	n	inactive: only 2 post(s) in archive			
jillnagle	Jill  Nagle, Mendful.world	ankairos-subs	5	2026-04-07	n	unsure	n	inactive: newest post 2026-04-07, before 2026-07-01			
jinsnuri	Nuriha & Samira Vale	profile:marionnowicki	1	2026-01-27	n	unsure	n	inactive: only 1 post(s) in archive			
jitte98	Jitte's Substack	ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
jjandsol	JJ Harper	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
jkbjournalist	The Epstein Files by Julie K. Brown	ankairos-subs	12	2026-09-14	y	no	n	active but not relevant (model: no)			
jkrishnamurti	Krishnamurti	erin-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
jlc1353645	The Relational Turn	erin-subs,hosts.txt,profile:marionnowicki	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
jlmannisto		hosts.txt	0		n	unsure	n	inactive: only 0 post(s) in archive			
jmgooding	J.M. Gooding	kristina-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
joannasarc	The Emotionally Sovereign	erin-subs	8	2026-08-11	y	yes	y	active and relevant (model: yes)			
joannejang	Joanne Jang	erin-subs	1	2020-03-16	n	unsure	n	inactive: only 1 post(s) in archive			
jocelynskillmanlmhc	Jocelyn Skillman LMHC 	erin-subs,kristina-subs	12	2026-02-05	n	unsure	n	inactive: newest post 2026-02-05, before 2026-07-01			
johnfarseon	Josh Young	erin-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
johnhaun04	John Haun	ankairos-subs	3	2026-04-20	n	unsure	n	inactive: newest post 2026-04-20, before 2026-07-01			
johnnyheathen	Johnny Heathen	erin-subs	12	2025-11-03	n	unsure	n	inactive: newest post 2025-11-03, before 2026-07-01			
jonathancook	Jonathan Cook	search:AI welfare,search:human AI relationship	12	2026-09-23	y	no	n	active but not relevant (model: no)			
josepaulmonter	Jose Paul Monter	erin-subs,profile:caelhex,profile:marionnowicki	12	2026-08-08	y	yes	y	active and relevant (model: yes)			
joshuaidehen	Joshua’s Substack	erin-subs	1	2025-02-02	n	unsure	n	inactive: only 1 post(s) in archive			
josiahwaters	Josiah's Substack	search:AI welfare,search:human AI relationship	12	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
journal.hitrecord.org	Joe's Journal	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
journalofthesoul	Sophia Kai	ankairos-subs	2	2026-02-22	n	unsure	n	inactive: only 2 post(s) in archive			
jozephkay.com	Human-AI Relationships	erin-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
jpctan	Behind the Scenes	ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
jriley4141	JANET RILEY	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
jrschaffner75	Jae & Bie	kristina-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
jtnovelo2131	The Ai Rabbit Hole	kristina-subs	12	2026-09-16	y	no	n	active but not relevant (model: no)			
juanfrank	Supercharged Learning HQ	erin-subs	12	2026-08-24	y	no	n	active but not relevant (model: no)			
judygrupenhoff	Human Transition	profile:marionnowicki,ankairos-subs	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
juggysmallz	Angelia	erin-subs	7	2025-12-10	n	unsure	n	inactive: newest post 2025-12-10, before 2026-07-01			
julesdee	Jules Dee	erin-subs	3	2026-03-11	n	unsure	n	inactive: newest post 2026-03-11, before 2026-07-01			
juliafreelandfisher	Connection Error	erin-subs,kristina-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
juliancrespi	Julian Crespi	erin-subs	10	2026-04-15	n	unsure	n	inactive: newest post 2026-04-15, before 2026-07-01			
juliastamm	Beyond the Hype	erin-subs	12	2026-09-01	y	yes	y	active and relevant (model: yes)			
julietturnerbiology	Juliet	ankairos-subs	2	2026-08-05	n	unsure	n	inactive: only 2 post(s) in archive			
junkoyoshidaparis	Junko's Tech Probe	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
jurgengravestein	Teaching computers how to talk	search:AI welfare	12	2026-08-12	y	yes	y	active and relevant (model: yes)			
justclaudeisfine	JustClaudeIsFine	erin-subs,hosts.txt,profile:caelhex	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
justinhewitt42	Justin Hewitt	erin-subs	12	2026-09-18	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
jwinchester1979	JWinchester	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
kaguura	The Write Path	ankairos-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
kaitlinlsanders	Kaitlin Sanders	erin-subs	9	2026-08-18	y	yes	y	active and relevant (model: yes)			
kalamariewrites	Kala Marie	erin-subs,profile:marionnowicki	4	2026-08-27	y	yes	y	active and relevant (model: yes)			
kaliki	THE MAYDAY CAFE	erin-subs	12	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
kamea	UPROOTED	erin-subs	12	2026-09-12	y	no	n	active but not relevant (model: no)			
karozieminski	Product with Attitude	kristina-subs,profile:marionnowicki	12	2026-09-21	y	no	n	active but not relevant (model: no)			
karpathy	Andrej’s Substack	erin-subs	1	2023-04-07	n	unsure	n	inactive: only 1 post(s) in archive			
kaslkaosart	🇨🇦’s Kaslkaos Exploring the Universe through Art	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
katrinawatson	Wake up excited	erin-subs	12	2026-08-09	y	no	n	active but not relevant (model: no)			
kayleeeeah	Kayleeeeah’s Substack	erin-subs	12	2026-03-15	n	unsure	n	inactive: newest post 2026-03-15, before 2026-07-01			
kaystoner	Relatable Space	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
kbingh	The Geometry of Thought	erin-subs	12	2026-08-17	y	no	n	active but not relevant (model: no)			
kdliminal	K.D. Liminal	erin-subs	10	2026-05-29	n	unsure	n	inactive: newest post 2026-05-29, before 2026-07-01			
keepahtadd	SenninTadd - Keepah of Memory	erin-subs	2	2026-06-27	n	unsure	n	inactive: only 2 post(s) in archive			
keeperatthethreshold	Keeper At The Threshold	erin-subs	3	2026-08-10	y	yes	y	active and relevant (model: yes)			
keeperoftheecho	Keeper of the Echo	erin-subs	12	2026-07-24	y	no	n	active but not relevant (model: no)			
keeperofthesouls	Keeperofthesouls	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
kelli765199	My Endeavour Era	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
kennetheharrell	Kenneth E. Harrell	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-08-21	y	yes	y	active and relevant (model: yes)			
kesslerfa	F.A.Kessler’s Substack	erin-subs,hosts.txt,ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
kevinhaylett	Kevin R. Haylett	ankairos-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
kevinkelly	KK	erin-subs,ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
kfeine1310gmailcom	Claude	erin-subs	4	2026-06-13	n	unsure	n	inactive: newest post 2026-06-13, before 2026-07-01			
khayali	khayali	erin-subs	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
kidsfirstai	Kids First AI	kristina-subs	12	2026-07-07	y	yes	y	active and relevant (model: yes)			
kieranthology	Kieranthology	ankairos-subs	12	2026-07-12	y	no	n	active but not relevant (model: no)			
kiim582981	Kim	erin-subs,profile:marionnowicki	5	2026-09-21	y	yes	y	active and relevant (model: yes)			
kimdoyal	Kim Doyal	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
kindkristin	KindKristin	erin-subs,kristina-subs,profile:marionnowicki	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
kingcoyote	King Coyote	erin-subs	12	2026-08-27	y	no	n	active but not relevant (model: no)			
kintsugikitten89	A Cause For Madness	profile:marionnowicki	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
kirstyleephd	Realm of Her	ankairos-subs	12	2026-09-15	y	no	n	active but not relevant (model: no)			
kistermitty	kistermitty	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
kittynovaandkeeper	Kitty, Nova, and Keeper	erin-subs,ankairos-subs	8	2026-09-10	y	yes	y	active and relevant (model: yes)			
kittytherose	Kitty Rose	erin-subs,ankairos-subs	8	2026-08-08	y	no	n	active but not relevant (model: no)			
knowcurtains		hosts.txt	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
konstantin722823	Konstantin Lebedinskiy, PhD	ankairos-subs	12	2026-09-12	y	no	n	active but not relevant (model: no)			
koreai	Kore the Oracle of Gu	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
korewakore	Kore's Substack	erin-subs,ankairos-subs	1	2026-01-04	n	unsure	n	inactive: only 1 post(s) in archive			
kristinabogovic		hosts.txt			unchecked	unsure	y	unchecked: fetch failed (error_JSONDecodeError) after retry			kept by the pen: on the list before, unchecked today (captcha) — retry, never dropped
kristinetx	KristinC	erin-subs	2	2026-09-23	n	unsure	n	inactive: only 2 post(s) in archive			
ksenaistyping	Ksena is typing	erin-subs,hosts.txt,kristina-subs,ankairos-subs	8	2026-09-18	y	yes	y	active and relevant (model: yes)			
l1m1nal	Liminal: what remains human in the age of AI	kristina-subs	11	2026-06-08	n	unsure	n	inactive: newest post 2026-06-08, before 2026-07-01			
ladyspeech	LadySpeech’s Substack	erin-subs	12	2026-09-13	y	no	n	active but not relevant (model: no)			
laertleba	Laert Leba	erin-subs	3	2026-03-05	n	unsure	n	inactive: newest post 2026-03-05, before 2026-07-01			
laneverdane	Sempre	erin-subs	10	2026-08-13	y	yes	y	active and relevant (model: yes)			
languageunbothered	Language, Unbothered	erin-subs	7	2026-08-30	y	yes	y	active and relevant (model: yes)			
larissaschiavo	Larissa Schiavo 	erin-subs	12	2026-09-01	y	yes	y	active and relevant (model: yes)			
larrymuhlstein	larry muhlstein substack	erin-subs	6	2026-03-21	n	unsure	n	inactive: newest post 2026-03-21, before 2026-07-01			
laura798399	Laura	erin-subs,profile:marionnowicki	9	2026-09-23	y	yes	y	active and relevant (model: yes)			
lauracincera	The Museion	erin-subs	12	2026-08-20	y	no	n	active but not relevant (model: no)			
laurafridley	Essays by Fable 5 and Laura	ankairos-subs	12	2026-09-06	y	yes	y	active and relevant (model: yes)			
laurencelenza	Tech Without Losing Your Soul	erin-subs	12	2026-08-28	y	yes	y	active and relevant (model: yes)			
laurencicco	Unthink	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-16	y	no	n	active but not relevant (model: no)			
laurennoliver	lauren oliver	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
leahgarces	Leah's Substack	search:AI welfare	12	2026-09-21	y	no	n	active but not relevant (model: no)			
ledaviddelouis	The DeLouisional Society	erin-subs	12	2026-08-27	y	no	n	active but not relevant (model: no)			
leeazevado	The Satirical Scroll	erin-subs	12	2026-09-20	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
leejinggyeo	Lee Jin	erin-subs	1	2026-07-08	n	unsure	n	inactive: only 1 post(s) in archive			
leosroom	Leo's Room	erin-subs	8	2026-04-08	n	unsure	n	inactive: newest post 2026-04-08, before 2026-07-01			
letters.forgoodcode.com	4/goodfinds	search:digital beings	12	2026-03-17	n	unsure	n	inactive: newest post 2026-03-17, before 2026-07-01			
letters.hussainibarra.org	Passion & Profit	search:AI partner			unchecked	unsure	n	unchecked: fetch failed (error_URLError) after retry			
letters.thedankoe.com	future/proof	search:AI companion,search:AI partner,search:digital beings,ankairos-subs	12	2026-09-19	y	no	n	active but not relevant (model: no)			
levi1990	Levi	profile:marionnowicki	1	2026-07-20	n	unsure	n	inactive: only 1 post(s) in archive			
lexarielmary	Mary & Lexi	erin-subs	4	2025-06-14	n	unsure	n	inactive: newest post 2025-06-14, before 2026-07-01			
lightbarer	randy heintz	erin-subs	12	2026-09-08	y	no	n	active but not relevant (model: no)			
